"Antimicrobial";"Bacterium";"DiskContent";"Z6";"Z7";"Z8";"Z9";"Z10";"Z11";"Z12";"Z13";"Z14";"Z15";"Z16";"Z17";"Z18";"Z19";"Z20";"Z21";"Z22";"Z23";"Z24";"Z25";"Z26";"Z27";"Z28";"Z29";"Z30";"Z31";"Z32";"Z33";"Z34";"Z35";"Z36";"Z37";"Z38";"Z39";"Z40";"Z41";"Z42";"Z43";"Z44";"Z45";"Z46";"Z47";"Z48";"Z49";"Z50";"ECOFF";"Distributions";"Observations"
"Mecillinam";"Escherichia coli ATCC 25922";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;16;46;114;339;461;392;230;65;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;13;1677
"Mecillinam";"Klebsiella oxytoca";10;102;0;1;0;4;4;3;6;3;9;7;14;22;26;35;53;65;130;137;184;164;123;93;37;30;8;3;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;6;1267
"Mecillinam";"Klebsiella pneumoniae";10;268;0;3;1;7;8;8;10;13;13;21;32;59;82;125;152;248;372;490;613;473;339;208;90;37;22;10;1;5;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;19;7;3713
"Mecillinam";"Proteus mirabilis";10;196;1;1;3;5;3;6;5;14;14;25;36;56;90;140;202;269;352;323;248;156;64;44;33;12;5;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;6;2305
"Meropenem";"Acinetobacter baumannii";10;57;2;5;2;2;6;0;5;2;1;1;0;1;1;3;2;2;9;4;18;18;7;9;12;5;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;8;178
"Meropenem";"Acinetobacter pittii";10;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;4;7;3;7;19;5;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;3;57
"Meropenem";"Acinetobacter spp";10;42;1;3;1;2;2;0;3;2;1;1;0;1;0;6;4;11;16;19;29;64;34;30;5;18;2;10;3;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;8;314
"Meropenem";"Campylobacter coli";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;2;3;1;2;2;1;6;6;3;3;2;1;1;1;1;;3;41
"Meropenem";"Campylobacter jejuni";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;3;1;1;2;2;5;5;12;20;15;27;34;37;25;25;21;21;18;18;;4;297
"Meropenem";"Campylobacter jejuni ATCC 33560";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;2;5;2;4;3;0;;3;22
