"Antimicrobial";"Bacterium";"M0.002";"M0.004";"M0.008";"M0.016";"M0.032";"M0.064";"M0.125";"M0.25";"M0.5";"M1";"M2";"M4";"M8";"M16";"M32";"M64";"M128";"M256";"M512";"ECOFF";"Distributions";"Observations"
"Amikacin";"Staphylococcus warneri";0;0;0;0;0;0;0;5;16;28;10;6;3;0;0;1;1;0;0;;2;70
"Amikacin";"Stenotrophomonas maltophilia";0;0;0;0;0;0;0;0;1;2;2;10;13;17;19;55;15;168;39;;5;341
"Amoxicillin";"Actinomyces israelii";0;0;0;0;1;11;35;41;9;1;0;0;0;0;0;0;0;0;0;;1;98
"Amoxicillin";"Actinomyces spp";0;0;2;3;9;37;101;104;43;5;1;0;0;0;0;0;0;0;0;;1;305
"Amoxicillin";"Anaerobic cocci Gram positive";0;0;0;0;40;320;130;111;34;11;9;2;8;5;1;1;2;0;0;;1;674
"Amoxicillin";"Bacteroides fragilis";0;0;0;0;1;0;0;1;5;10;7;5;30;177;176;88;144;0;0;;1;644
"Amoxicillin";"Bacteroides fragilis group";0;0;0;0;0;8;11;53;63;44;29;17;98;352;380;102;411;0;0;;1;1568
"Amoxicillin";"Bacteroides thetaiotaomicron";0;0;0;0;0;2;6;12;7;2;0;5;12;49;78;17;42;0;0;;1;232
"Amoxicillin";"Campylobacter coli";0;0;0;0;0;0;0;7;37;120;204;170;153;7;10;92;0;0;0;8;6;800
"Amoxicillin";"Campylobacter jejuni";0;0;0;0;0;0;0;1;1;17;27;89;135;19;40;72;0;0;0;16;5;401
"Amoxicillin";"Citrobacter spp";0;0;0;0;0;0;0;0;0;1;2;3;5;23;13;48;63;28;34;;7;220
"Amoxicillin";"Clostridium difficile";0;0;0;0;11;14;37;53;148;328;69;12;0;1;1;1;0;0;0;;3;675
"Amoxicillin";"Clostridium perfringens";0;0;0;0;25;70;11;2;4;1;1;1;0;0;0;0;0;0;0;;1;115
"Amoxicillin";"Enterobacter agglomerans";0;0;0;0;0;0;0;0;0;1;3;38;23;12;9;14;16;8;0;;1;124
"Amoxicillin";"Enterobacter cloacae";0;0;0;0;0;0;0;0;0;1;3;12;13;27;62;99;147;95;365;;6;824
"Amoxicillin";"Enterobacter dissolvens";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;34;0;;1;37
"Amoxicillin";"Enterobacter spp";0;0;0;0;0;0;0;0;0;4;3;17;30;1;5;3;11;31;0;;1;105
"Amoxicillin";"Escherichia coli";0;0;0;0;0;0;0;0;9;97;740;1694;675;43;11;692;615;58;693;8;21;5327
"Amoxicillin";"Fusobacterium spp";0;0;0;0;25;123;9;10;4;4;4;4;3;2;5;1;1;0;0;;1;195
"Amoxicillin";"Haemophilus influenzae";0;0;0;0;4;12;143;1800;5490;1561;719;282;284;439;544;195;46;8;1;2;16;11528
"Amoxicillin";"Haemophilus parainfluenzae";0;0;0;0;0;0;63;148;133;21;8;3;5;7;28;0;0;0;0;1;1;416
"Amoxicillin";"Helicobacter pylori";4;0;5;7064;1824;1065;368;80;35;11;5;0;0;0;0;0;0;0;0;0.125;8;10461
"Amoxicillin";"Kingella kingae";0;0;1;2;26;69;65;12;11;8;7;1;0;0;0;0;0;0;0;;1;202
"Amoxicillin";"Klebsiella aerogenes";0;0;0;0;0;0;0;0;0;0;1;0;2;3;6;16;26;15;41;;5;110
"Amoxicillin";"Klebsiella oxytoca";0;0;0;0;0;0;0;0;0;1;0;1;0;6;16;63;102;42;60;;6;291
"Amoxicillin";"Klebsiella pneumoniae";0;0;0;0;0;0;0;1;0;1;4;4;2;5;58;204;329;142;248;;7;998
"Amoxicillin";"Klebsiella spp";0;0;0;0;0;0;0;0;1;0;0;2;18;35;71;63;13;18;0;;1;221
"Amoxicillin";"Legionella pneumophila";0;0;0;0;0;0;1;3;18;20;25;16;12;2;3;0;0;0;0;;1;100
"Amoxicillin";"Mannheimia haemolytica";0;0;0;3;1;3;17;26;3;0;0;0;1;6;17;12;0;0;0;;2;89
"Amoxicillin";"Moraxella catarrhalis";2;0;21;80;13;17;32;10;65;35;99;143;236;319;267;159;41;16;1;0.125;6;1556
"Amoxicillin";"Morganella morganii";0;0;0;0;0;0;0;0;2;1;3;1;2;8;14;26;33;29;11;8;5;130
"Amoxicillin";"Neisseria meningitidis";0;0;0;0;9;105;431;85;129;59;0;0;0;0;0;0;0;0;0;;1;818
"Amoxicillin";"Pasteurella multocida";0;0;0;0;0;11;36;104;90;2;1;2;1;1;0;3;0;0;0;1;6;251
"Amoxicillin";"Porphyromonas spp";0;0;0;0;1;47;5;3;1;2;0;0;0;1;0;0;0;0;0;;1;60
"Amoxicillin";"Prevotella spp";0;0;0;0;8;112;20;12;8;9;12;9;20;40;26;8;50;0;0;;1;334
"Amoxicillin";"Propionibacterium acnes";0;0;0;0;7;93;9;19;12;1;4;2;1;0;0;0;0;0;0;;1;148
"Amoxicillin";"Proteus mirabilis";0;0;0;0;0;0;0;13;236;80;11;50;2;4;18;17;10;13;107;2;4;561
"Amoxicillin";"Salmonella spp";0;0;0;0;0;0;0;6;2418;5791;207;6;4;2;14;1148;553;0;0;4;6;10149
"Amoxicillin";"Serratia liquefaciens";0;0;0;0;0;0;0;0;0;0;1;2;6;6;4;2;2;0;0;;1;23
"Amoxicillin";"Serratia spp";0;0;0;0;0;0;0;0;0;0;1;5;8;9;7;45;24;13;49;;3;161
"Amoxicillin";"Streptococcus agalactiae";0;0;0;9;56;254;19;0;0;0;0;0;0;0;0;0;0;0;0;0.25;5;338
"Amoxicillin";"Streptococcus anginosus";0;0;0;2;4;25;27;8;0;1;0;0;0;0;0;0;0;0;0;0.25;3;67
"Amoxicillin";"Streptococcus group G";0;0;33;138;10;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0.064;4;188
"Amoxicillin";"Streptococcus oralis";0;0;4;41;62;26;23;12;9;6;5;5;0;3;0;0;0;0;0;0.125;4;196
"Amoxicillin";"Streptococcus pneumoniae";2;150;1474;2555;282;127;125;59;124;305;60;16;9;0;0;0;0;0;0;0.064;11;5288
"Amoxicillin";"Streptococcus pyogenes";0;3;142;244;7;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0.064;5;403
"Amoxicillin";"Streptococcus, viridans group";0;0;4;26;54;81;81;38;21;17;10;2;0;1;0;0;0;0;0;;2;335
"Amoxicillin-clavulanic acid (fixed)";"Acinetobacter baumannii";0;0;0;0;0;0;0;0;0;19;8;27;99;153;87;14;5;26;0;;1;438
